-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.201, -0.027,  0.115
-183.800, 80.201, -0.014,  0.148
-183.801, 80.201, -0.013,  0.181
-183.801, 80.201, -0.012,  0.214
-183.801, 80.201, -0.006,  0.247
-183.800, 80.200, 0.046,  0.280
-183.799, 80.196, 0.126,  0.313
-183.797, 80.190, 0.172,  0.346
-183.795, 80.183, 0.250,  0.379
-183.792, 80.172, 0.336,  0.412
-183.787, 80.155, 0.553,  0.445
-183.781, 80.132, 0.685,  0.478
-183.774, 80.102, 0.924,  0.511
-183.766, 80.066, 1.057,  0.544
-183.757, 80.028, 1.152,  0.577
-183.749, 79.988, 1.238,  0.610
-183.740, 79.945, 1.309,  0.643
-183.731, 79.900, 1.369,  0.676
-183.722, 79.854, 1.417,  0.709
-183.714, 79.806, 1.453,  0.742
-183.705, 79.758, 1.477,  0.775
-183.697, 79.709, 1.490,  0.808
-183.688, 79.661, 1.494,  0.841
-183.680, 79.612, 1.490,  0.874
-183.673, 79.563, 1.481,  0.907
-183.665, 79.515, 1.470,  0.940
-183.658, 79.468, 1.458,  0.973
-183.651, 79.420, 1.447,  1.006
-183.644, 79.373, 1.439,  1.039
-183.637, 79.326, 1.436,  1.072
-183.630, 79.279, 1.439,  1.105
-183.624, 79.231, 1.447,  1.138
-183.617, 79.183, 1.461,  1.171
-183.611, 79.134, 1.479,  1.204
-183.604, 79.085, 1.500,  1.237
-183.598, 79.035, 1.522,  1.270
-183.592, 78.984, 1.543,  1.303
-183.586, 78.932, 1.561,  1.336
-183.580, 78.880, 1.574,  1.369
-183.574, 78.828, 1.583,  1.402
-183.568, 78.775, 1.588,  1.435
-183.562, 78.723, 1.590,  1.468
-183.556, 78.670, 1.589,  1.501
-183.550, 78.618, 1.588,  1.534
-183.545, 78.565, 1.588,  1.567
-183.539, 78.512, 1.590,  1.600
-183.533, 78.460, 1.594,  1.633
-183.528, 78.407, 1.602,  1.666
-183.522, 78.353, 1.613,  1.699
-183.516, 78.300, 1.625,  1.732
