314.258, 129.490, 2.992,  2.660 False
314.198, 129.490, 3.017,  2.680 False
314.137, 129.490, 3.043,  2.700 False
314.076, 129.489, 3.068,  2.720 False
314.014, 129.489, 3.093,  2.740 False
313.952, 129.489, 3.118,  2.760 False
313.889, 129.489, 3.143,  2.780 False
313.826, 129.489, 3.168,  2.800 False
313.762, 129.489, 3.193,  2.820 False
313.698, 129.489, 3.218,  2.840 False
313.633, 129.489, 3.243,  2.860 False
313.568, 129.489, 3.267,  2.880 False
313.502, 129.489, 3.292,  2.900 False
313.436, 129.489, 3.317,  2.920 False
313.369, 129.489, 3.341,  2.940 False
313.302, 129.490, 3.365,  2.960 False
313.235, 129.490, 3.390,  2.980 False
313.166, 129.490, 3.414,  3.000 False
313.098, 129.490, 3.439,  3.020 False
313.029, 129.490, 3.463,  3.040 False
312.959, 129.490, 3.487,  3.060 False
312.889, 129.490, 3.511,  3.080 False
312.818, 129.490, 3.536,  3.100 False
312.747, 129.490, 3.560,  3.120 False
312.676, 129.490, 3.584,  3.140 False
312.604, 129.490, 3.608,  3.160 False
312.531, 129.490, 3.632,  3.180 False
312.458, 129.490, 3.656,  3.200 False
312.385, 129.490, 3.680,  3.220 False
312.311, 129.490, 3.703,  3.240 False
312.236, 129.490, 3.727,  3.260 False
312.161, 129.490, 3.751,  3.280 False
312.086, 129.490, 3.775,  3.300 False
312.010, 129.490, 3.798,  3.320 False
311.934, 129.490, 3.822,  3.340 False
311.857, 129.490, 3.845,  3.360 False
311.780, 129.490, 3.869,  3.380 False
311.702, 129.490, 3.892,  3.400 False
311.624, 129.490, 3.916,  3.420 False
311.545, 129.490, 3.939,  3.440 False
311.466, 129.490, 3.963,  3.460 False
311.387, 129.490, 3.986,  3.480 False
311.306, 129.490, 4.009,  3.500 False
311.226, 129.491, 4.032,  3.520 False
311.145, 129.491, 4.055,  3.540 False
311.064, 129.491, 4.078,  3.560 False
310.982, 129.491, 4.102,  3.580 False
310.899, 129.491, 4.124,  3.600 False
310.816, 129.491, 4.147,  3.620 False
310.733, 129.491, 4.170,  3.640 False
310.649, 129.491, 4.193,  3.660 False
310.565, 129.491, 4.216,  3.680 False
310.481, 129.491, 4.239,  3.700 False
310.395, 129.491, 4.261,  3.720 False
310.310, 129.491, 4.284,  3.740 False
310.224, 129.491, 4.306,  3.760 False
310.137, 129.491, 4.329,  3.780 False
310.051, 129.491, 4.351,  3.800 False
309.963, 129.491, 4.374,  3.820 False
309.875, 129.491, 4.396,  3.840 False
309.787, 129.491, 4.418,  3.860 False
309.698, 129.491, 4.440,  3.880 False
309.609, 129.491, 4.463,  3.900 False
309.520, 129.491, 4.484,  3.920 False
309.430, 129.491, 4.507,  3.940 False
309.339, 129.491, 4.529,  3.960 False
309.248, 129.491, 4.551,  3.980 False
309.157, 129.491, 4.573,  4.000 False
309.065, 129.491, 4.595,  4.020 False
308.973, 129.491, 4.617,  4.040 False
308.880, 129.491, 4.639,  4.060 False
308.787, 129.491, 4.661,  4.080 False
308.694, 129.491, 4.683,  4.100 False
308.600, 129.491, 4.705,  4.120 False
308.505, 129.491, 4.727,  4.140 False
308.410, 129.491, 4.749,  4.160 False
308.315, 129.491, 4.771,  4.180 False
308.219, 129.491, 4.793,  4.200 False
308.123, 129.491, 4.815,  4.220 False
308.026, 129.491, 4.836,  4.240 False
307.929, 129.491, 4.858,  4.260 False
307.832, 129.491, 4.880,  4.280 False
307.734, 129.492, 4.901,  4.300 False
307.636, 129.492, 4.923,  4.320 False
307.537, 129.492, 4.945,  4.340 False
307.438, 129.492, 4.966,  4.360 False
307.338, 129.492, 4.988,  4.380 False
307.238, 129.492, 5.009,  4.400 False
307.137, 129.492, 5.031,  4.420 False
307.037, 129.492, 5.052,  4.440 False
